Translating types for jansi (use_llm=true, use_rag=true)
[type 0001/1452] ✅ void -> Unit | fixed_map
[type 0069/1452] ✅ int -> Int64 | fixed_map
[type 0070/1452] ✅ Ansi -> Ansi | custom_type
[type 0071/1452] ✅ Ansi -> Ansi | custom_type
[type 0072/1452] ✅ Ansi -> Ansi | custom_type
[type 0073/1452] ✅ Ansi -> Ansi | custom_type
[type 0074/1452] ✅ Ansi -> Ansi | custom_type
[type 0075/1452] ✅ Ansi -> Ansi | custom_type
[type 0076/1452] ✅ Ansi -> Ansi | custom_type
[type 0077/1452] ✅ Color -> Color | custom_type
[type 0078/1452] ✅ Ansi -> Ansi | custom_type
[type 0079/1452] ✅ Ansi -> Ansi | custom_type
[type 0080/1452] ✅ Ansi -> Ansi | custom_type
[type 0081/1452] ✅ Ansi -> Ansi | custom_type
[type 0082/1452] ✅ Ansi -> Ansi | custom_type
[type 0083/1452] ✅ Ansi -> Ansi | custom_type
[type 0084/1452] ✅ Ansi -> Ansi | custom_type
[type 0085/1452] ✅ Ansi -> Ansi | custom_type
[type 0086/1452] ✅ Ansi -> Ansi | custom_type
[type 0087/1452] ✅ Color -> Color | custom_type
[type 0088/1452] ✅ Ansi -> Ansi | custom_type
[type 0089/1452] ✅ Ansi -> Ansi | custom_type
[type 0090/1452] ✅ Ansi -> Ansi | custom_type
[type 0091/1452] ✅ Ansi -> Ansi | custom_type
[type 0092/1452] ✅ Ansi -> Ansi | custom_type
[type 0093/1452] ✅ Ansi -> Ansi | custom_type
[type 0094/1452] ✅ Ansi -> Ansi | custom_type
[type 0095/1452] ✅ Attribute -> Attribute | custom_type
[type 0096/1452] ✅ Ansi -> Ansi | custom_type
[type 0097/1452] ✅ int -> Int64 | fixed_map
[type 0098/1452] ✅ int -> Int64 | fixed_map
[type 0099/1452] ✅ Ansi -> Ansi | custom_type
[type 0100/1452] ✅ int -> Int64 | fixed_map
[type 0101/1452] ✅ Ansi -> Ansi | custom_type
[type 0102/1452] ✅ int -> Int64 | fixed_map
[type 0103/1452] ✅ Ansi -> Ansi | custom_type
[type 0104/1452] ✅ int -> Int64 | fixed_map
[type 0105/1452] ✅ Ansi -> Ansi | custom_type
[type 0106/1452] ✅ int -> Int64 | fixed_map
[type 0107/1452] ✅ Ansi -> Ansi | custom_type
[type 0108/1452] ✅ int -> Int64 | fixed_map
[type 0109/1452] ✅ Ansi -> Ansi | custom_type
[type 0110/1452] ✅ int -> Int64 | fixed_map
[type 0111/1452] ✅ int -> Int64 | fixed_map
[type 0112/1452] ✅ Ansi -> Ansi | custom_type
[type 0113/1452] ✅ Ansi -> Ansi | custom_type
[type 0114/1452] ✅ int -> Int64 | fixed_map
[type 0115/1452] ✅ Ansi -> Ansi | custom_type
[type 0116/1452] ✅ Ansi -> Ansi | custom_type
[type 0117/1452] ✅ int -> Int64 | fixed_map
[type 0118/1452] ✅ Ansi -> Ansi | custom_type
[type 0119/1452] ✅ Ansi -> Ansi | custom_type
[type 0120/1452] ✅ Erase -> Erase | custom_type
[type 0121/1452] ✅ Ansi -> Ansi | custom_type
[type 0122/1452] ✅ Ansi -> Ansi | custom_type
[type 0123/1452] ✅ Erase -> Erase | custom_type
[type 0124/1452] ✅ Ansi -> Ansi | custom_type
[type 0125/1452] ✅ int -> Int64 | fixed_map
[type 0126/1452] ✅ Ansi -> Ansi | custom_type
[type 0127/1452] ✅ int -> Int64 | fixed_map
[type 0128/1452] ✅ Ansi -> Ansi | custom_type
[type 0129/1452] ✅ Ansi -> Ansi | custom_type
[type 0130/1452] ✅ Ansi -> Ansi | custom_type
[type 0131/1452] ✅ Ansi -> Ansi | custom_type
[type 0132/1452] ✅ Ansi -> Ansi | custom_type
[type 0133/1452] ✅ Ansi -> Ansi | custom_type
[type 0134/1452] ✅ Ansi -> Ansi | custom_type
[type 0135/1452] ✅ Ansi -> Ansi | custom_type
[type 0136/1452] ✅ Ansi -> Ansi | custom_type
[type 0137/1452] ✅ Ansi -> Ansi | custom_type
[type 0138/1452] ✅ Ansi -> Ansi | custom_type
[type 0139/1452] ✅ String -> String | fixed_map
[type 0140/1452] ✅ Ansi -> Ansi | custom_type
[type 0141/1452] ✅ boolean -> Bool | fixed_map
[type 0142/1452] ✅ Ansi -> Ansi | custom_type
[type 0143/1452] ✅ char -> Rune | fixed_map
[type 0144/1452] ✅ Ansi -> Ansi | custom_type
[type 0145/1452] ✅ char[] -> Array<Rune> | llm
[type 0146/1452] ✅ int -> Int64 | fixed_map
[type 0147/1452] ✅ int -> Int64 | fixed_map
[type 0148/1452] ✅ Ansi -> Ansi | custom_type
[type 0149/1452] ✅ char[] -> Array<Rune> | llm
[type 0150/1452] ✅ Ansi -> Ansi | custom_type
[type 0151/1452] ✅ CharSequence -> String | llm
[type 0152/1452] ✅ int -> Int64 | fixed_map
[type 0153/1452] ✅ int -> Int64 | fixed_map
[type 0154/1452] ✅ Ansi -> Ansi | custom_type
[type 0155/1452] ✅ CharSequence -> String | llm
[type 0156/1452] ✅ Ansi -> Ansi | custom_type
[type 0157/1452] ✅ double -> Float64 | fixed_map
[type 0158/1452] ✅ Ansi -> Ansi | custom_type
[type 0159/1452] ✅ float -> Float32 | fixed_map
[type 0160/1452] ✅ Ansi -> Ansi | custom_type
[type 0161/1452] ✅ int -> Int64 | fixed_map
[type 0162/1452] ✅ Ansi -> Ansi | custom_type
[type 0163/1452] ✅ long -> Int64 | fixed_map
[type 0164/1452] ✅ Ansi -> Ansi | custom_type
[type 0165/1452] ✅ Object -> Any | fixed_map
[type 0166/1452] ✅ Ansi -> Ansi | custom_type
[type 0167/1452] ✅ StringBuffer -> StringBuilder | llm
[type 0168/1452] ✅ Ansi -> Ansi | custom_type
[type 0169/1452] ✅ Ansi -> Ansi | custom_type
[type 0170/1452] ✅ String -> String | fixed_map
[type 0171/1452] ✅ Ansi -> Ansi | custom_type
[type 0172/1452] ✅ Ansi_Consumer -> Ansi_Consumer | custom_type
[type 0173/1452] ✅ Ansi -> Ansi | custom_type
[type 0174/1452] ✅ String -> String | fixed_map
[type 0175/1452] ✅ Ansi -> Ansi | custom_type
[type 0176/1452] ✅ String -> String | fixed_map
[type 0177/1452] ✅ String -> String | fixed_map
[type 0178/1452] ✅ Ansi -> Ansi | custom_type
[type 0179/1452] ✅ char -> Rune | fixed_map
[type 0180/1452] ✅ Ansi -> Ansi | custom_type
[type 0181/1452] ✅ char -> Rune | fixed_map
[type 0182/1452] ✅ int -> Int64 | fixed_map
[type 0183/1452] ✅ Ansi -> Ansi | custom_type
[type 0184/1452] ✅ char -> Rune | fixed_map
[type 0185/1452] ✅ void -> Unit | fixed_map
[type 0186/1452] ✅ Ansi -> Ansi | custom_type
[type 0187/1452] ✅ char -> Rune | fixed_map
[type 0188/1452] ✅ int -> Int64 | fixed_map
[type 0189/1452] ✅ Ansi -> Ansi | custom_type
[type 0190/1452] ✅ CharSequence -> String | llm
[type 0191/1452] ✅ Ansi -> Ansi | custom_type
[type 0192/1452] ✅ CharSequence -> String | llm
[type 0193/1452] ✅ int -> Int64 | fixed_map
[type 0194/1452] ✅ int -> Int64 | fixed_map
[type 0195/1452] ✅ Ansi -> Ansi | custom_type
[type 0196/1452] ✅ char -> Rune | fixed_map
[type 0197/1452] ✅ int -> Int64 | fixed_map
[type 0198/1452] ✅ String -> String | fixed_map
[type 0199/1452] ✅ int -> Int64 | fixed_map
[type 0200/1452] ✅ String -> String | fixed_map
[type 0201/1452] ✅ String -> String | fixed_map
[type 0202/1452] ✅ int -> Int64 | fixed_map
[type 0203/1452] ✅ int -> Int64 | fixed_map
[type 0204/1452] ✅ int -> Int64 | fixed_map
[type 0205/1452] ✅ int -> Int64 | fixed_map
[type 0206/1452] ✅ int -> Int64 | fixed_map
[type 0207/1452] ✅ int -> Int64 | fixed_map
[type 0208/1452] ✅ String -> String | fixed_map
[type 0209/1452] ✅ int -> Int64 | fixed_map
[type 0210/1452] ✅ String -> String | fixed_map
[type 0211/1452] ✅ String -> String | fixed_map
[type 0212/1452] ✅ int -> Int64 | fixed_map
[type 0213/1452] ✅ int -> Int64 | fixed_map
[type 0214/1452] ✅ String -> String | fixed_map
[type 0215/1452] ✅ int -> Int64 | fixed_map
[type 0216/1452] ✅ String -> String | fixed_map
[type 0217/1452] ✅ String -> String | fixed_map
[type 0218/1452] ✅ int -> Int64 | fixed_map
[type 0219/1452] ✅ void -> Unit | fixed_map
[type 0220/1452] ✅ Ansi -> Ansi | custom_type
[type 0221/1452] ✅ int -> Int64 | fixed_map
[type 0222/1452] ✅ StringBuilder -> Any | llm
[type 0223/1452] ✅ Ansi -> Ansi | custom_type
[type 0224/1452] ✅ Color -> Color | custom_type
[type 0225/1452] ✅ Ansi -> Ansi | custom_type
[type 0226/1452] ✅ Color -> Color | custom_type
[type 0227/1452] ✅ Ansi -> Ansi | custom_type
[type 0228/1452] ✅ Color -> Color | custom_type
[type 0229/1452] ✅ Ansi -> Ansi | custom_type
[type 0230/1452] ✅ Color -> Color | custom_type
[type 0231/1452] ✅ Ansi -> Ansi | custom_type
[type 0232/1452] ✅ int -> Int64 | fixed_map
[type 0233/1452] ✅ Ansi -> Ansi | custom_type
[type 0234/1452] ✅ int -> Int64 | fixed_map
[type 0235/1452] ✅ int -> Int64 | fixed_map
[type 0236/1452] ✅ int -> Int64 | fixed_map
[type 0237/1452] ✅ Ansi -> Ansi | custom_type
[type 0238/1452] ✅ int -> Int64 | fixed_map
[type 0239/1452] ✅ Ansi -> Ansi | custom_type
[type 0240/1452] ✅ int -> Int64 | fixed_map
[type 0241/1452] ✅ int -> Int64 | fixed_map
[type 0242/1452] ✅ int -> Int64 | fixed_map
[type 0243/1452] ✅ Ansi -> Ansi | custom_type
[type 0244/1452] ✅ Attribute -> Attribute | custom_type
[type 0245/1452] ✅ Ansi -> Ansi | custom_type
[type 0246/1452] ✅ int -> Int64 | fixed_map
[type 0247/1452] ✅ int -> Int64 | fixed_map
[type 0248/1452] ✅ Ansi -> Ansi | custom_type
[type 0249/1452] ✅ int -> Int64 | fixed_map
[type 0250/1452] ✅ Ansi -> Ansi | custom_type
[type 0251/1452] ✅ int -> Int64 | fixed_map
[type 0252/1452] ✅ Ansi -> Ansi | custom_type
[type 0253/1452] ✅ int -> Int64 | fixed_map
[type 0254/1452] ✅ Ansi -> Ansi | custom_type
[type 0255/1452] ✅ int -> Int64 | fixed_map
[type 0256/1452] ✅ Ansi -> Ansi | custom_type
[type 0257/1452] ✅ int -> Int64 | fixed_map
[type 0258/1452] ✅ Ansi -> Ansi | custom_type
[type 0259/1452] ✅ Ansi -> Ansi | custom_type
[type 0260/1452] ✅ int -> Int64 | fixed_map
[type 0261/1452] ✅ Ansi -> Ansi | custom_type
[type 0262/1452] ✅ Ansi -> Ansi | custom_type
[type 0263/1452] ✅ int -> Int64 | fixed_map
[type 0264/1452] ✅ Ansi -> Ansi | custom_type
[type 0265/1452] ✅ Ansi -> Ansi | custom_type
[type 0266/1452] ✅ Erase -> Erase | custom_type
[type 0267/1452] ✅ Ansi -> Ansi | custom_type
[type 0268/1452] ✅ Ansi -> Ansi | custom_type
[type 0269/1452] ✅ Erase -> Erase | custom_type
[type 0270/1452] ✅ Ansi -> Ansi | custom_type
[type 0271/1452] ✅ int -> Int64 | fixed_map
[type 0272/1452] ✅ Ansi -> Ansi | custom_type
[type 0273/1452] ✅ int -> Int64 | fixed_map
[type 0274/1452] ✅ Ansi -> Ansi | custom_type
[type 0275/1452] ✅ Ansi -> Ansi | custom_type
[type 0276/1452] ✅ Ansi -> Ansi | custom_type
[type 0277/1452] ✅ Ansi -> Ansi | custom_type
[type 0278/1452] ✅ boolean -> Bool | fixed_map
[type 0279/1452] ✅ int -> Int64 | fixed_map
[type 0280/1452] ✅ int -> Int64 | fixed_map
[type 0281/1452] ✅ boolean -> Bool | fixed_map
[type 0282/1452] ✅ boolean -> Bool | fixed_map
[type 0283/1452] ✅ int -> Int64 | fixed_map
[type 0284/1452] ✅ int -> Int64 | fixed_map
[type 0285/1452] ✅ int -> Int64 | fixed_map
[type 0286/1452] ✅ long -> Int64 | fixed_map
[type 0287/1452] ✅ long -> Int64 | fixed_map
[type 0288/1452] ✅ long -> Int64 | fixed_map
[type 0289/1452] ✅ long -> Int64 | fixed_map
[type 0290/1452] ✅ long -> Int64 | fixed_map
[type 0291/1452] ✅ long -> Int64 | fixed_map
[type 0292/1452] ✅ void -> Unit | fixed_map
[type 0293/1452] ✅ int -> Int64 | fixed_map
[type 0294/1452] ✅ int -> Int64 | fixed_map
[type 0295/1452] ✅ String -> String | fixed_map
[type 0296/1452] ✅ int -> Int64 | fixed_map
[type 0297/1452] ✅ int -> Int64 | fixed_map
[type 0298/1452] ✅ int[] -> Array<Int32> | llm
[type 0299/1452] ✅ int[] -> Array<Int32> | llm
[type 0300/1452] ✅ byte[] -> Array<Byte> | llm
[type 0301/1452] ✅ CLibrary_Termios -> CLibrary_Termios | custom_type
[type 0302/1452] ✅ CLibrary_WinSize -> CLibrary_WinSize | custom_type
[type 0303/1452] ✅ int -> Int64 | fixed_map
[type 0304/1452] ✅ int -> Int64 | fixed_map
[type 0305/1452] ✅ CLibrary_Termios -> CLibrary_Termios | custom_type
[type 0306/1452] ✅ int -> Int64 | fixed_map
[type 0307/1452] ✅ int -> Int64 | fixed_map
[type 0308/1452] ✅ int -> Int64 | fixed_map
[type 0309/1452] ✅ CLibrary_Termios -> CLibrary_Termios | custom_type
[type 0310/1452] ✅ int -> Int64 | fixed_map
[type 0311/1452] ✅ int -> Int64 | fixed_map
[type 0312/1452] ✅ long -> Int64 | fixed_map
[type 0313/1452] ✅ int[] -> Array<Int32> | llm
[type 0314/1452] ✅ int -> Int64 | fixed_map
[type 0315/1452] ✅ int -> Int64 | fixed_map
[type 0316/1452] ✅ long -> Int64 | fixed_map
[type 0317/1452] ✅ CLibrary_WinSize -> CLibrary_WinSize | custom_type
[type 0318/1452] ✅ int -> Int64 | fixed_map
[type 0319/1452] ✅ short -> Int16 | fixed_map
[type 0320/1452] ✅ short -> Int16 | fixed_map
[type 0321/1452] ✅ short -> Int16 | fixed_map
[type 0322/1452] ✅ short -> Int16 | fixed_map
[type 0323/1452] ✅ void -> Unit | fixed_map
[type 0324/1452] ✅ short -> Int16 | fixed_map
[type 0325/1452] ✅ short -> Int16 | fixed_map
[type 0326/1452] ✅ int -> Int64 | fixed_map
[type 0327/1452] ✅ long -> Int64 | fixed_map
[type 0328/1452] ✅ long -> Int64 | fixed_map
[type 0329/1452] ✅ long -> Int64 | fixed_map
[type 0330/1452] ✅ long -> Int64 | fixed_map
[type 0331/1452] ✅ byte[] -> Array<Byte> | llm
[type 0332/1452] ✅ long -> Int64 | fixed_map
[type 0333/1452] ✅ long -> Int64 | fixed_map
[type 0334/1452] ✅ void -> Unit | fixed_map
[type 0335/1452] ✅ String -> String | fixed_map
[type 0336/1452] ✅ String -> String | fixed_map
[type 0337/1452] ✅ String -> String | fixed_map
[type 0338/1452] ✅ String -> String | fixed_map
[type 0339/1452] ✅ String -> String | fixed_map
[type 0340/1452] ✅ String -> String | fixed_map
[type 0341/1452] ✅ String -> String | fixed_map
[type 0342/1452] ✅ HashMap<String, String> -> HashMap<String, String> | llm
[type 0343/1452] ✅ void -> Unit | fixed_map
[type 0344/1452] ✅ String[] -> Array<Any> | llm
[type 0345/1452] ✅ String -> String | fixed_map
[type 0346/1452] ✅ String -> String | fixed_map
[type 0347/1452] ✅ boolean -> Bool | fixed_map
[type 0348/1452] ✅ boolean -> Bool | fixed_map
[type 0349/1452] ✅ String -> String | fixed_map
[type 0350/1452] ✅ Throwable -> Exception | llm
[type 0351/1452] ✅ String -> String | fixed_map
[type 0352/1452] ✅ Process -> Process | llm
[type 0353/1452] ✅ InputStream -> InputStream | fixed_map
[type 0354/1452] ✅ Throwable -> Exception | llm
[type 0355/1452] ✅ String -> String | fixed_map
[type 0356/1452] ✅ InputStream -> InputStream | fixed_map
[type 0357/1452] ✅ int -> Int64 | fixed_map
[type 0358/1452] ❌ ByteArrayOutputStream -> Any | fallback:budget_exhausted
[type 0359/1452] ✅ byte[] -> Array<Byte> | llm
[type 0360/1452] ✅ byte -> Int8 | fixed_map
[type 0361/1452] ✅ String -> String | fixed_map
[type 0362/1452] ✅ String -> String | fixed_map
[type 0363/1452] ✅ String -> String | fixed_map
[type 0364/1452] ✅ String -> String | fixed_map
[type 0365/1452] ✅ String -> String | fixed_map
[type 0366/1452] ✅ String -> String | fixed_map
[type 0367/1452] ✅ String -> String | fixed_map
[type 0368/1452] ✅ String -> String | fixed_map
[type 0369/1452] ✅ void -> Unit | fixed_map
[type 0370/1452] ✅ void -> Unit | fixed_map
[type 0371/1452] ✅ void -> Unit | fixed_map
[type 0372/1452] ✅ String -> String | fixed_map
[type 0373/1452] ✅ void -> Unit | fixed_map
[type 0374/1452] ✅ String -> String | fixed_map
[type 0375/1452] ✅ void -> Unit | fixed_map
[type 0376/1452] ✅ String -> String | fixed_map
[type 0377/1452] ✅ void -> Unit | fixed_map
[type 0378/1452] ✅ String -> String | fixed_map
[type 0379/1452] ✅ void -> Unit | fixed_map
[type 0380/1452] ✅ String -> String | fixed_map
[type 0381/1452] ✅ void -> Unit | fixed_map
[type 0382/1452] ✅ String -> String | fixed_map
[type 0383/1452] ✅ void -> Unit | fixed_map
[type 0384/1452] ✅ void -> Unit | fixed_map
[type 0385/1452] ✅ String -> String | fixed_map
[type 0386/1452] ✅ void -> Unit | fixed_map
[type 0387/1452] ✅ IllegalArgumentException -> IllegalArgumentException | llm
[type 0388/1452] ✅ void -> Unit | fixed_map
[type 0389/1452] ✅ String -> String | fixed_map
[type 0390/1452] ✅ void -> Unit | fixed_map
[type 0391/1452] ✅ Ansi -> Ansi | custom_type
[type 0392/1452] ✅ String -> String | fixed_map
[type 0393/1452] ✅ String -> String | fixed_map
[type 0394/1452] ✅ String -> String | fixed_map
[type 0395/1452] ✅ String -> String | fixed_map
[type 0396/1452] ✅ String -> String | fixed_map
[type 0397/1452] ✅ String -> String | fixed_map
[type 0398/1452] ✅ String -> String | fixed_map
[type 0399/1452] ✅ String -> String | fixed_map
[type 0400/1452] ✅ String -> String | fixed_map
[type 0401/1452] ✅ String -> String | fixed_map
[type 0402/1452] ✅ String -> String | fixed_map
[type 0403/1452] ✅ String -> String | fixed_map
[type 0404/1452] ✅ String -> String | fixed_map
[type 0405/1452] ✅ String -> String | fixed_map
[type 0406/1452] ✅ String -> String | fixed_map
[type 0407/1452] ✅ String -> String | fixed_map
[type 0408/1452] ✅ String -> String | fixed_map
[type 0409/1452] ✅ String -> String | fixed_map
[type 0410/1452] ❌ PrintStream -> Any | fallback:budget_exhausted
[type 0411/1452] ❌ PrintStream -> Any | fallback:budget_exhausted
[type 0412/1452] ❌ PrintStream -> Any | fallback:budget_exhausted
[type 0413/1452] ❌ PrintStream -> Any | fallback:budget_exhausted
[type 0414/1452] ✅ boolean -> Bool | fixed_map
[type 0415/1452] ✅ boolean -> Bool | fixed_map
[type 0416/1452] ✅ boolean -> Bool | fixed_map
[type 0417/1452] ✅ boolean -> Bool | fixed_map
[type 0418/1452] ✅ int -> Int64 | fixed_map
[type 0419/1452] ✅ int -> Int64 | fixed_map
[type 0420/1452] ✅ int -> Int64 | fixed_map
[type 0421/1452] ✅ boolean -> Bool | fixed_map
[type 0422/1452] ✅ int -> Int64 | fixed_map
[type 0423/1452] ✅ int -> Int64 | fixed_map
[type 0424/1452] ✅ int -> Int64 | fixed_map
[type 0425/1452] ✅ int -> Int64 | fixed_map
[type 0426/1452] ✅ AnsiPrintStream -> AnsiPrintStream | custom_type
[type 0427/1452] ✅ boolean -> Bool | fixed_map
[type 0428/1452] ✅ FileDescriptor -> FileDescriptor | llm
[type 0429/1452] ✅ OutputStream -> OutputStream | fixed_map
[type 0430/1452] ✅ FastBufferedOutputStream -> FastBufferedOutputStream | custom_type
[type 0431/1452] ❌ FileOutputStream -> Any | fallback:budget_exhausted
[type 0432/1452] ✅ String -> String | fixed_map
[type 0433/1452] ✅ boolean -> Bool | fixed_map
[type 0434/1452] ✅ int -> Int64 | fixed_map
[type 0435/1452] ❌ Throwable -> Exception | fallback:budget_exhausted
[type 0436/1452] ✅ AnsiOutputStream.AnsiOutputStream_WidthSupplier -> AnsiOutputStream.AnsiOutputStream_WidthSupplier | custom_type
[type 0437/1452] ✅ AnsiOutputStream -> AnsiOutputStream | custom_type
[type 0438/1452] ✅ AnsiOutputStream_WidthSupplier -> AnsiOutputStream_WidthSupplier | custom_type
[type 0439/1452] ✅ AnsiProcessor -> AnsiProcessor | custom_type
[type 0440/1452] ✅ AnsiType -> AnsiType | custom_type
[type 0441/1452] ✅ AnsiOutputStream.AnsiOutputStream_IoRunnable -> AnsiOutputStream.AnsiOutputStream_IoRunnable | custom_type
[type 0442/1452] ✅ AnsiOutputStream_IoRunnable -> AnsiOutputStream_IoRunnable | custom_type
[type 0443/1452] ✅ AnsiOutputStream.AnsiOutputStream_ZeroWidthSupplier -> AnsiOutputStream.AnsiOutputStream_ZeroWidthSupplier | custom_type
[type 0444/1452] ✅ AnsiOutputStream_ZeroWidthSupplier -> AnsiOutputStream_ZeroWidthSupplier | custom_type
[type 0445/1452] ✅ long -> Int64 | fixed_map
[type 0446/1452] ❌ int[] -> Array<Int32> | fallback:budget_exhausted
[type 0447/1452] ✅ Kernel32_CONSOLE_SCREEN_BUFFER_INFO -> Kernel32_CONSOLE_SCREEN_BUFFER_INFO | custom_type
[type 0448/1452] ✅ AnsiConsole -> AnsiConsole | custom_type
[type 0449/1452] ✅ MingwSupport -> MingwSupport | custom_type
[type 0450/1452] ✅ WindowsAnsiProcessor -> WindowsAnsiProcessor | custom_type
[type 0451/1452] ✅ CLibrary_WinSize -> CLibrary_WinSize | custom_type
[type 0452/1452] ✅ AnsiMode -> AnsiMode | custom_type
[type 0453/1452] ✅ AnsiColors -> AnsiColors | custom_type
[type 0454/1452] ❌ Charset -> Any | fallback:budget_exhausted
[type 0455/1452] ❌ UnsupportedCharsetException -> Any | fallback:budget_exhausted
[type 0456/1452] ✅ AnsiPrintStream -> AnsiPrintStream | custom_type
[type 0457/1452] ✅ AnsiOutputStream -> AnsiOutputStream | custom_type
[type 0458/1452] ✅ String -> String | fixed_map
[type 0459/1452] ✅ AnsiPrintStream -> AnsiPrintStream | custom_type
[type 0460/1452] ✅ UnsupportedEncodingException -> IOException | llm
[type 0461/1452] ✅ boolean -> Bool | fixed_map
[type 0462/1452] ✅ String -> String | fixed_map
[type 0463/1452] ✅ boolean -> Bool | fixed_map
[type 0464/1452] ✅ String -> String | fixed_map
[type 0465/1452] ❌ IllegalArgumentException | NullPointerException -> Any | fallback:budget_exhausted
[type 0466/1452] ✅ IllegalArgumentException -> IllegalArgumentException | llm
[type 0467/1452] ❌ NullPointerException -> Any | fallback:budget_exhausted
[type 0468/1452] ✅ AnsiPrintStream -> AnsiPrintStream | custom_type
[type 0469/1452] ✅ AnsiPrintStream -> AnsiPrintStream | custom_type
[type 0470/1452] ❌ PrintStream -> Any | fallback:budget_exhausted
[type 0471/1452] ✅ AnsiPrintStream -> AnsiPrintStream | custom_type
[type 0472/1452] ✅ AnsiPrintStream -> AnsiPrintStream | custom_type
[type 0473/1452] ❌ PrintStream -> Any | fallback:budget_exhausted
[type 0474/1452] ✅ void -> Unit | fixed_map
[type 0475/1452] ✅ AnsiPrintStream -> AnsiPrintStream | custom_type
[type 0476/1452] ✅ IOException -> IOException | llm
[type 0477/1452] ✅ IOError -> IOException | llm
[type 0478/1452] ✅ boolean -> Bool | fixed_map
[type 0479/1452] ✅ void -> Unit | fixed_map
